topology,seed,arm,k_paths,blocked,blocking,selector_mean_ms,selector_p50_ms,selector_p95_ms,selector_p99_ms,end_to_end_ms,route_init_s,selector_init_s,env_init_s,ksp_ff_backend,shadow_row_backend,legal_start_backend
xlron_nsfnet_deeprmsa,23004,ksp_ff_k50,50,818,0.0818,0.016000745161859828,0.008655944839119911,0.06887007039040327,0.08815992507152266,0.025532412766055626,0.34477916499599814,0.021812107996083796,0.028640317963436246,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23004,ksp_bf_k50,50,782,0.0782,0.028732237935235556,0.00459898728877306,0.2556865045335143,0.3209306113421924,0.039151204358363015,0.34581080498173833,1.4129327610135078e-06,0.02866861503571272,,,
xlron_nsfnet_deeprmsa,23004,full_direct,50,657,0.0657,0.3519817581929436,0.33698504557833076,0.5996144900564103,0.9040294948499655,0.3684789406728338,0.33812816604040563,0.14820570405572653,0.031730288988910615,,python,python
xlron_nsfnet_deeprmsa,23004,opp_only,50,681,0.0681,0.14185660793869334,0.12325402349233627,0.2441244781948626,0.39521781494840996,0.15616963344456797,0.3425287299323827,0.10586640704423189,0.030262776068411767,,,python
xlron_nsfnet_deeprmsa,23005,ksp_ff_k5,5,835,0.0835,0.010601891384629364,0.008256000000983477,0.016502436483278864,0.04591699689626694,0.0199694454098459,0.022220017039217055,0.00234194693621248,0.030556545010767877,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23005,ksp_ff_k50,50,791,0.0791,0.016298571569760417,0.008706934750080109,0.06906145135872066,0.09259180864319219,0.026421933085657656,0.34417582990136,0.02424282906576991,0.031096796970814466,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23005,ksp_bf_k50,50,740,0.074,0.02771013397300108,0.004568020813167095,0.25435704155825073,0.31075128004886216,0.03783290573946116,0.3375183920143172,1.542968675494194e-06,0.03000283893197775,,,
xlron_nsfnet_deeprmsa,23005,full_direct,50,626,0.0626,0.3602539312454279,0.34253549529239535,0.6117136101238424,0.9032114339061084,0.37722246248317376,0.3520528069930151,0.14854120707605034,0.029785277089104056,,python,python
xlron_nsfnet_deeprmsa,23005,opp_only,50,657,0.0657,0.13851232951591638,0.12164097279310226,0.23065497516654423,0.3802502295002343,0.1524139774476432,0.3432044129585847,0.08385578996967524,0.03625950601417571,,,python
xlron_nsfnet_deeprmsa,23006,ksp_ff_k5,5,776,0.0776,0.010636516931382092,0.008375965990126133,0.017603090964257717,0.04412396810948849,0.020301312959583647,0.022623665048740804,0.003027257975190878,0.03305229789111763,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23006,ksp_ff_k50,50,750,0.075,0.01590852437286892,0.008675968274474144,0.06886094342917204,0.09247618727386,0.025684478756209665,0.344242898048833,0.04469641100149602,0.032661944977007806,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23006,ksp_bf_k50,50,722,0.0722,0.02745798095764423,0.00459898728877306,0.2551149809733033,0.3123529569711545,0.03791596287522803,0.35264641395770013,1.242966391146183e-06,0.030795986065641046,,,
xlron_nsfnet_deeprmsa,23006,full_direct,50,605,0.0605,0.35761784497563814,0.342409941367805,0.6105545558966695,0.9020250663161282,0.37434231894175435,0.3404757920652628,0.14218315097969025,0.029507132014259696,,python,python
xlron_nsfnet_deeprmsa,23006,opp_only,50,623,0.0623,0.1365940334931524,0.1204785075969994,0.22221619146876032,0.33316922490485046,0.1502437700983137,0.332451154012233,0.08453605102840811,0.03044918505474925,,,python
xlron_nsfnet_deeprmsa,23007,ksp_ff_k5,5,804,0.0804,0.01059040833603252,0.008324976079165936,0.016792595852166393,0.04417722579091794,0.020067874395119197,0.026077529997564852,0.0030854290816932917,0.03317939001135528,python_bitparallel_early_exit,,
